,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Chicken Enchiladas II,340.0,619,60.0,4.1,137.0,5.0,48.0,13.0,6000.0,397.0,26.1,4.56212091445923,8694/chicken-enchiladas-ii/,mexican,11.0,1459.0,4.0,1.0,Chicken Enchiladas II,66.8,27.1,652IU,0.0,14.0
Burrito Pie,159.0,432,68.0,4.7,62.0,3.0,45.0,8.0,4000.0,388.0,19.8,4.55905294418335,16881/burrito-pie/,mexican,10.0,847.0,1.0,0.0,Burrito Pie,33.3,23.9,252IU,0.0,8.0
Chicken Enchiladas I,327.0,498,72.0,3.9,108.0,4.0,54.0,13.0,5000.0,496.0,26.7,4.479498386383059,8691/chicken-enchiladas-i/,mexican,9.0,1227.0,3.0,0.0,Chicken Enchiladas I,49.7,15.9,967IU,0.0,11.0
Angela's Awesome Enchiladas,509.0,709,126.0,4.4,115.0,5.0,68.0,18.0,3000.0,590.0,42.2,4.71484375,83549/angelas-awesome-enchiladas/,mexican,18.0,1764.0,4.0,0.0,Angela's Awesome Enchiladas,52.5,36.3,1422IU,0.0,19.0
Addictive Sweet Potato Burritos,307.0,505,20.0,13.4,100.0,5.0,51.0,5.0,2000.0,503.0,20.0,4.26604461669922,13954/addictive-sweet-potato-burritos/,mexican,4.0,1029.0,5.0,1.0,Addictive Sweet Potato Burritos,76.6,8.5,13603IU,0.0,15.0
Fish Tacos,145.0,409,54.0,4.9,65.0,2.0,49.0,3.0,3000.0,511.0,17.3,4.708885192871089,53729/fish-tacos/,mexican,3.0,407.0,5.0,0.0,Fish Tacos,43.0,18.8,251IU,0.0,25.0
Lime Chicken Soft Tacos,78.0,204,37.0,1.4,40.0,2.0,22.0,6.0,2000.0,200.0,16.2,4.43364572525024,25371/lime-chicken-soft-tacos/,mexican,2.0,433.0,2.0,0.0,Lime Chicken Soft Tacos,18.9,6.8,187IU,0.0,4.0
Easy Mexican Casserole,451.0,632,119.0,6.2,34.0,3.0,65.0,8.0,2000.0,925.0,31.7,4.385772705078129,20680/easy-mexican-casserole/,mexican,23.0,1308.0,6.0,0.0,Easy Mexican Casserole,32.8,43.7,1546IU,0.0,8.0
Delicious Black Bean Burritos,204.0,692,47.0,14.8,101.0,7.0,26.0,5.0,2000.0,296.0,21.2,4.45699453353882,14041/delicious-black-bean-burritos/,mexican,12.0,1803.0,4.0,0.0,Delicious Black Bean Burritos,70.2,35.8,1707IU,0.0,42.0
Black Bean and Corn Quesadillas,204.0,363,26.0,6.3,114.0,3.0,45.0,5.0,2000.0,332.0,13.9,4.61316633224487,104850/black-bean-and-corn-quesadillas/,mexican,7.0,732.0,3.0,0.0,Black Bean and Corn Quesadillas,45.6,14.5,332IU,0.0,2.0
Makhani Chicken (Indian Butter Chicken),159.0,492,149.0,3.7,28.0,3.0,80.0,23.0,186.0,950.0,35.8,4.44508647918701,24782/makhani-chicken-indian-butter-chicken/,indian,14.0,666.0,10.0,0.0,Makhani Chicken (Indian Butter Chicken),19.0,28.4,2441IU,1.0,23.0
Cholay (Curried Chickpeas),72.0,248,0.0,8.3,116.0,3.0,57.0,2.0,73.0,493.0,8.5,4.02597379684448,67767/cholay-curried-chickpeas/,indian,1.0,446.0,3.0,0.0,Cholay (Curried Chickpeas),40.2,6.7,809IU,1.0,17.0
Indian Tomato Chicken,50.0,134,57.0,1.6,18.0,2.0,32.0,8.0,282.0,363.0,14.7,4.521126747131349,17449/indian-tomato-chicken/,indian,1.0,547.0,3.0,0.0,Indian Tomato Chicken,6.9,5.4,139IU,0.0,9.0
Indian Chicken Curry I,53.0,305,81.0,2.8,24.0,4.0,64.0,16.0,265.0,606.0,33.0,4.44976091384888,20036/indian-chicken-curry-i/,indian,10.0,443.0,5.0,0.0,Indian Chicken Curry I,9.8,15.3,277IU,0.0,8.0
Prawn Malai Curry,142.0,343,175.0,4.0,23.0,5.0,40.0,5.0,15.0,314.0,25.1,4.40000009536743,213244/prawn-malai-curry/,indian,13.0,71.0,3.0,0.0,Prawn Malai Curry,13.8,21.4,486IU,0.0,8.0
Reshmi Kebab (Silken Kebabs),57.0,293,124.0,1.7,18.0,2.0,42.0,21.0,13.0,401.0,33.0,4.40000009536743,34974/reshmi-kebab-silken-kebabs/,indian,8.0,115.0,1.0,0.0,Reshmi Kebab (Silken Kebabs),5.3,15.6,1066IU,1.0,24.0
Chicken Biryani,73.0,832,134.0,5.1,42.0,4.0,82.0,27.0,224.0,1021.0,47.8,4.31292533874512,16102/chicken-biryani/,indian,8.0,1522.0,5.0,0.0,Chicken Biryani,78.9,35.1,562IU,1.0,29.0
Bhuna Gosht,80.0,453,90.0,4.3,60.0,3.0,53.0,12.0,21.0,760.0,25.6,4.22222232818604,212488/bhuna-gosht/,indian,10.0,90.0,9.0,0.0,Bhuna Gosht,20.5,30.4,1080IU,0.0,74.0
Chicken Tikka Masala,206.0,404,143.0,2.5,24.0,3.0,57.0,13.0,3000.0,660.0,24.6,4.38908433914185,45736/chicken-tikka-masala/,indian,17.0,1592.0,7.0,0.0,Chicken Tikka Masala,13.3,28.9,2432IU,1.0,11.0
Curry Stand Chicken Tikka Masala Sauce,68.0,328,106.0,2.3,19.0,2.0,37.0,9.0,3000.0,462.0,17.9,4.914268493652339,228293/curry-stand-chicken-tikka-masala-sauce/,indian,13.0,980.0,7.0,0.0,Curry Stand Chicken Tikka Masala Sauce,13.2,23.4,1496IU,0.0,9.0
Vegetarian Korma,120.0,462,82.0,8.4,84.0,3.0,83.0,5.0,2000.0,1088.0,8.6,4.57152509689331,60598/vegetarian-korma/,indian,15.0,1434.0,9.0,0.0,Vegetarian Korma,41.3,31.1,13460IU,1.0,73.0
Indian Chicken Curry II,172.0,313,38.0,3.8,27.0,4.0,66.0,11.0,1000.0,576.0,19.1,4.27125215530396,46822/indian-chicken-curry-ii/,indian,10.0,268.0,7.0,0.0,Indian Chicken Curry II,14.0,21.7,555IU,1.0,15.0
